second,Input,Output
0.01516,6.36250019,1.25
0.01518,6.17500019,1.25
0.0152,6.11250019,1.28125
0.01522,5.92500019,1.3125
0.01524,5.80000019,1.34375
0.01526,5.80000019,1.34375
0.01528,5.55000019,1.375
0.0153,5.42500019,1.4375
0.01532,5.23750019,1.4375
0.01534,5.11250019,1.4375
0.01536,5.05000019,1.5
0.01538,4.86250019,1.5
0.0154,4.80000019,1.53125
0.01542,4.67500019,1.59375
0.01544,4.48750019,1.5625
0.01546,4.36250019,1.625
0.01548,4.30000019,1.65625
0.0155,4.11250019,1.65625
0.01552,4.05000019,1.6875
0.01554,3.86250019,1.71875
0.01556,3.73750019,1.75
0.01558,3.61250019,1.78125
0.0156,3.42500019,1.75
0.01562,3.36250019,1.8125
0.01564,3.30000019,1.84375
0.01566,3.17500019,1.84375
0.01568,2.98750019,1.875
0.0157,2.98750019,1.875
0.01572,2.86250019,1.90625
0.01574,2.73750019,1.9375
0.01576,2.67500019,1.9375
0.01578,2.55000019,1.96875
0.0158,2.42500019,1.96875
0.01582,2.36250019,1.96875
0.01584,2.30000019,2.03125
0.01586,2.17500019,2.03125
0.01588,2.17500019,2.03125
0.0159,2.11250019,2.0625
0.01592,1.98750019,2.0625
0.01594,1.92500019,2.0625
0.01596,1.86250019,2.09375
0.01598,1.86250019,2.09375
0.016,1.73750019,2.125
0.01602,1.73750019,2.125
0.01604,1.67500019,2.125
0.01606,1.67500019,2.125
0.01608,1.61250019,2.15625
0.0161,1.61250019,2.125
0.01612,1.55000019,2.125
0.01614,1.55000019,2.125
0.01616,1.48750019,2.125
0.01618,1.48750019,2.125
0.0162,1.55000019,2.15625
0.01622,1.55000019,2.125
0.01624,1.55000019,2.15625
0.01626,1.55000019,2.15625
0.01628,1.55000019,2.15625
0.0163,1.55000019,2.125
0.01632,1.67500019,2.125
0.01634,1.67500019,2.09375
0.01636,1.73750019,2.09375
0.01638,1.73750019,2.0625
0.0164,1.73750019,2.09375
0.01642,1.86250019,2.0625
0.01644,1.92500019,2.03125
0.01646,1.98750019,2.03125
0.01648,1.98750019,2.03125
0.0165,2.05000019,1.96875
0.01652,2.11250019,1.96875
0.01654,2.23750019,1.96875
0.01656,2.36250019,1.96875
0.01658,2.42500019,1.9375
0.0166,2.42500019,1.90625
0.01662,2.48750019,1.84375
0.01664,2.67500019,1.875
0.01666,2.73750019,1.84375
0.01668,2.86250019,1.84375
0.0167,2.98750019,1.78125
0.01672,2.98750019,1.75
0.01674,3.17500019,1.75
0.01676,3.23750019,1.75
0.01678,3.42500019,1.71875
0.0168,3.48750019,1.6875
0.01682,3.67500019,1.65625
0.01684,3.73750019,1.625
0.01686,3.92500019,1.59375
0.01688,4.05000019,1.59375
0.0169,4.11250019,1.5625
0.01692,4.30000019,1.53125
0.01694,4.48750019,1.5
0.01696,4.55000019,1.46875
0.01698,4.73750019,1.46875
0.017,4.80000019,1.4375
0.01702,4.98750019,1.40625
0.01704,5.05000019,1.375
0.01706,5.23750019,1.375
0.01708,5.30000019,1.34375
0.0171,5.48750019,1.28125
0.01712,5.55000019,1.28125
0.01714,5.67500019,1.25
0.01716,5.86250019,1.1875
0.01718,6.05000019,1.1875
0.0172,6.17500019,1.15625
0.01722,6.23750019,1.125
0.01724,6.30000019,1.125
0.01726,6.48750019,1.09375
0.01728,6.55000019,1.09375
0.0173,6.67500019,1.0625
0.01732,6.86250019,1.03125
0.01734,6.98750019,1
0.01736,6.98750019,1
0.01738,7.11250019,0.96875
0.0174,7.23750019,0.9375
0.01742,7.36250019,0.90625
0.01744,7.42500019,0.90625
0.01746,7.55000019,0.90625
0.01748,7.67500019,0.875
0.0175,7.73750019,0.84375
0.01752,7.80000019,0.84375
0.01754,7.86250019,0.8125
0.01756,7.92500019,0.8125
0.01758,8.05000019,0.8125
0.0176,8.05000019,0.78125
0.01762,8.11250019,0.78125
0.01764,8.17500019,0.75
0.01766,8.23750019,0.75
0.01768,8.23750019,0.75
0.0177,8.30000019,0.75
0.01772,8.36250019,0.71875
0.01774,8.42500019,0.71875
0.01776,8.36250019,0.6875
0.01778,8.42500019,0.71875
